comp_name,region,country,comp_url,sperrenausfaelle_url
Liga Guate Clausura,Americas,Guatemala,https://www.transfermarkt.com/liga-guate-clausura/startseite/wettbewerb/GU1C,https://www.transfermarkt.com/liga-guate-clausura/sperrenausfaelle/wettbewerb/GU1C
Primera División Apertura,Americas,El Salvador,https://www.transfermarkt.com/primera-division-apertura/startseite/wettbewerb/SL1A,https://www.transfermarkt.com/primera-division-apertura/sperrenausfaelle/wettbewerb/SL1A
Betway Premiership,Africa,South Africa,https://www.transfermarkt.com/betway-premiership/startseite/wettbewerb/SFA1,https://www.transfermarkt.com/betway-premiership/sperrenausfaelle/wettbewerb/SFA1
Premier League,Africa,Egypt,https://www.transfermarkt.com/egyptian-premier-league/startseite/wettbewerb/EGY1,https://www.transfermarkt.com/egyptian-premier-league/sperrenausfaelle/wettbewerb/EGY1
Botola Pro Inwi,Africa,Morocco,https://www.transfermarkt.com/botola-pro-inwi/startseite/wettbewerb/MAR1,https://www.transfermarkt.com/botola-pro-inwi/sperrenausfaelle/wettbewerb/MAR1
Ligue Professionnelle 1,Africa,Algeria,https://www.transfermarkt.com/ligue-professionnelle-1/startseite/wettbewerb/ALG1,https://www.transfermarkt.com/ligue-professionnelle-1/sperrenausfaelle/wettbewerb/ALG1
Ligue I Pro,Africa,Tunisia,https://www.transfermarkt.com/ligue-professionnelle-1/startseite/wettbewerb/TUN1,https://www.transfermarkt.com/ligue-professionnelle-1/sperrenausfaelle/wettbewerb/TUN1
Premier League,Africa,Ghana,https://www.transfermarkt.com/ghana-premier-league/startseite/wettbewerb/GHPL,https://www.transfermarkt.com/ghana-premier-league/sperrenausfaelle/wettbewerb/GHPL
Libyan Premier League,Africa,Libya,https://www.transfermarkt.com/libyan-premier-league/startseite/wettbewerb/LPL,https://www.transfermarkt.com/libyan-premier-league/sperrenausfaelle/wettbewerb/LPL
NPFL,Africa,Nigeria,https://www.transfermarkt.com/nigeria-professional-football-league/startseite/wettbewerb/NPFL,https://www.transfermarkt.com/nigeria-professional-football-league/sperrenausfaelle/wettbewerb/NPFL
Uganda Premier League,Africa,Uganda,https://www.transfermarkt.com/uganda-premier-league/startseite/wettbewerb/UGL1,https://www.transfermarkt.com/uganda-premier-league/sperrenausfaelle/wettbewerb/UGL1
Premier League,Africa,Ethiopia,https://www.transfermarkt.com/ethiopian-premier-league/startseite/wettbewerb/ETP1,https://www.transfermarkt.com/ethiopian-premier-league/sperrenausfaelle/wettbewerb/ETP1
Nedbank Cup,Africa,South Africa,https://www.transfermarkt.com/nedbank-cup/startseite/wettbewerb/NEDC,https://www.transfermarkt.com/nedbank-cup/sperrenausfaelle/wettbewerb/NEDC
Carling Knockout,Africa,South Africa,https://www.transfermarkt.com/carling-knockout/startseite/wettbewerb/TELK,https://www.transfermarkt.com/carling-knockout/sperrenausfaelle/wettbewerb/TELK
Egypt Cup,Africa,Egypt,https://www.transfermarkt.com/egypt-cup/startseite/wettbewerb/EGYP,https://www.transfermarkt.com/egypt-cup/sperrenausfaelle/wettbewerb/EGYP
Coupe du Trône Marocaine,Africa,Morocco,https://www.transfermarkt.com/coupe-du-trone-marocaine/startseite/wettbewerb/MARP,https://www.transfermarkt.com/coupe-du-trone-marocaine/sperrenausfaelle/wettbewerb/MARP
MTN8,Africa,South Africa,https://www.transfermarkt.com/mtn8/startseite/wettbewerb/SFAL,https://www.transfermarkt.com/mtn8/sperrenausfaelle/wettbewerb/SFAL
Coupe d'Algerie,Africa,Algeria,https://www.transfermarkt.com/coupe-dalgerie/startseite/wettbewerb/ALGP,https://www.transfermarkt.com/coupe-dalgerie/sperrenausfaelle/wettbewerb/ALGP
Tunisian Cup,Africa,Tunisia,https://www.transfermarkt.com/tunisian-cup/startseite/wettbewerb/TUNP,https://www.transfermarkt.com/tunisian-cup/sperrenausfaelle/wettbewerb/TUNP
Egyptian Super Cup,Africa,Egypt,https://www.transfermarkt.com/egyptian-super-cup/startseite/wettbewerb/ESCU,https://www.transfermarkt.com/egyptian-super-cup/sperrenausfaelle/wettbewerb/ESCU
Supercoupe d'Algérie,Africa,Algeria,https://www.transfermarkt.com/supercoupe-dalgerie/startseite/wettbewerb/AGSC,https://www.transfermarkt.com/supercoupe-dalgerie/sperrenausfaelle/wettbewerb/AGSC
Championship Playoff,Africa,Egypt,https://www.transfermarkt.com/championship-playoff/startseite/wettbewerb/EGCP,https://www.transfermarkt.com/championship-playoff/sperrenausfaelle/wettbewerb/EGCP
Relegation Playoff,Africa,Egypt,https://www.transfermarkt.com/relegation-playoff/startseite/wettbewerb/EGRP,https://www.transfermarkt.com/relegation-playoff/sperrenausfaelle/wettbewerb/EGRP
Qualif. Playoff,Africa,Libya,https://www.transfermarkt.com/libya-qualification-playoff/startseite/wettbewerb/LPL2,https://www.transfermarkt.com/libya-qualification-playoff/sperrenausfaelle/wettbewerb/LPL2
Rel. Playoff,Africa,Libya,https://www.transfermarkt.com/libya-relegation-playoff/startseite/wettbewerb/LPL1,https://www.transfermarkt.com/libya-relegation-playoff/sperrenausfaelle/wettbewerb/LPL1
Egyptian League Cup,Africa,Egypt,https://www.transfermarkt.com/egyptian-league-cup/startseite/wettbewerb/EGLC,https://www.transfermarkt.com/egyptian-league-cup/sperrenausfaelle/wettbewerb/EGLC
Excellence Cup,Africa,Morocco,https://www.transfermarkt.com/moroccan-excellence-cup/startseite/wettbewerb/MEC1,https://www.transfermarkt.com/moroccan-excellence-cup/sperrenausfaelle/wettbewerb/MEC1
